factura,fecha,vendedor,producto_id,cantidad_vendida,precio_unitario,costo_asociado_simulado
FAC-1000,2026-01-01,Vendedor_A,PROD002,4,18.2,13.0
FAC-1001,2026-01-01,Vendedor_C,PROD021,5,56.79,42.0
FAC-1002,2026-01-01,Vendedor_A,PROD025,11,71.03,50.0
FAC-1003,2026-01-01,Vendedor_C,PROD005,1,25.43,18.0
FAC-1004,2026-01-01,Vendedor_A,PROD003,5,17.02,12.5
FAC-1005,2026-01-01,Vendedor_B,PROD012,4,6.69,4.9
FAC-1006,2026-01-01,Vendedor_B,PROD009,4,8.82,6.5
FAC-1007,2026-01-01,Vendedor_A,PROD016,14,6.72,4.8
FAC-1008,2026-01-01,Vendedor_A,PROD019,1,32.6,24.0
FAC-1009,2026-01-01,Vendedor_A,PROD019,4,31.53,24.0
FAC-1010,2026-01-01,Vendedor_A,PROD019,5,32.97,24.0
FAC-1011,2026-01-01,Vendedor_B,PROD003,5,17.38,12.5
FAC-1012,2026-01-01,Vendedor_B,PROD004,5,17.3,12.0
FAC-1013,2026-01-01,Vendedor_A,PROD021,6,57.71,42.0
FAC-1014,2026-01-01,Vendedor_A,PROD003,2,17.91,12.5
FAC-1015,2026-01-01,Vendedor_B,PROD015,13,5.68,4.3
FAC-1016,2026-01-01,Vendedor_A,PROD017,5,32.88,25.0
FAC-1017,2026-01-01,Vendedor_C,PROD008,2,10.49,8.0
FAC-1018,2026-01-01,Vendedor_A,PROD002,5,18.2,13.0
FAC-1019,2026-01-01,Vendedor_A,PROD006,1,27.51,19.0
FAC-1020,2026-01-01,Vendedor_C,PROD022,14,63.99,45.0
FAC-1021,2026-01-01,Vendedor_B,PROD004,3,16.23,12.0
FAC-1022,2026-01-01,Vendedor_A,PROD012,20,6.78,4.9
FAC-1023,2026-01-01,Vendedor_A,PROD007,5,25.9,18.5
FAC-1024,2026-01-01,Vendedor_B,PROD013,21,5.72,4.2
FAC-1025,2026-01-01,Vendedor_B,PROD008,1,10.54,8.0
FAC-1026,2026-01-01,Vendedor_C,PROD003,4,17.34,12.5
FAC-1027,2026-01-01,Vendedor_B,PROD017,5,32.81,25.0
FAC-1028,2026-01-01,Vendedor_C,PROD006,5,26.99,19.0
FAC-1029,2026-01-01,Vendedor_B,PROD015,12,6.16,4.3
FAC-1030,2026-01-01,Vendedor_B,PROD005,1,24.08,18.0
FAC-1031,2026-01-01,Vendedor_A,PROD018,1,29.15,22.0
FAC-1032,2026-01-01,Vendedor_A,PROD021,12,58.99,42.0
FAC-1033,2026-01-01,Vendedor_A,PROD012,7,7.07,4.9
FAC-1034,2026-01-01,Vendedor_A,PROD012,5,6.45,4.9
FAC-1035,2026-01-01,Vendedor_B,PROD008,4,10.82,8.0
FAC-1036,2026-01-01,Vendedor_C,PROD005,1,26.03,18.0
FAC-1037,2026-01-01,Vendedor_C,PROD009,4,8.75,6.5
FAC-1038,2026-01-01,Vendedor_A,PROD016,15,6.72,4.8
FAC-1039,2026-01-01,Vendedor_C,PROD003,5,17.79,12.5
FAC-1040,2026-01-01,Vendedor_A,PROD015,19,6.18,4.3
